+-----------------------+-------------+-----------------+-----------------------------+
| STATE                 | POPULATION  | ELECTORAL VOTES | ELECTORAL VOTES PER CAPITA  |
+-----------------------+-------------+-----------------+-----------------------------+
| Alabama               | 4903185     | 9               | 0.00000184                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Alaska                | 731545      | 3               | 0.00000410                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Arizona               | 7278717     | 11              | 0.00000151                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Arkansas              | 3017804     | 6               | 0.00000199                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| California            | 39512223    | 55              | 0.00000139                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Colorado              | 5758736     | 9               | 0.00000156                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Connecticut           | 3565287     | 7               | 0.00000196                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Delaware              | 973764      | 3               | 0.00000308                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| District of Columbia  | 705749      | 3               | 0.00000425                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Florida               | 21477737    | 29              | 0.00000135                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Georgia               | 10617423    | 16              | 0.00000151                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Hawaii                | 1415872     | 4               | 0.00000283                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Idaho                 | 1787065     | 4               | 0.00000224                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Illinois              | 12671821    | 20              | 0.00000158                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Indiana               | 6732219     | 11              | 0.00000163                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Iowa                  | 3155070     | 6               | 0.00000190                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Kansas                | 2913314     | 6               | 0.00000206                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Kentucky              | 4467673     | 8               | 0.00000179                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Louisiana             | 4648794     | 8               | 0.00000172                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Maine                 | 1344212     | 4               | 0.00000298                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Maryland              | 6045680     | 10              | 0.00000165                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Massachusetts         | 6892503     | 11              | 0.00000160                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Michigan              | 9986857     | 16              | 0.00000160                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Minnesota             | 5639632     | 10              | 0.00000177                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Mississippi           | 2976149     | 6               | 0.00000202                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Missouri              | 6137428     | 10              | 0.00000163                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Montana               | 1068778     | 3               | 0.00000281                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Nebraska              | 1934408     | 5               | 0.00000258                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Nevada                | 3080156     | 6               | 0.00000195                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| New Hampshire         | 1359711     | 4               | 0.00000294                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| New Jersey            | 8882190     | 14              | 0.00000158                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| New Mexico            | 2096829     | 5               | 0.00000238                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| New York              | 19453561    | 29              | 0.00000149                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| North Carolina        | 10488084    | 15              | 0.00000143                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| North Dakota          | 762062      | 3               | 0.00000394                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Ohio                  | 11689100    | 18              | 0.00000154                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Oklahoma              | 3956971     | 7               | 0.00000177                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Oregon                | 4217737     | 7               | 0.00000166                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Pennsylvania          | 12801989    | 20              | 0.00000156                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Rhode Island          | 1059361     | 4               | 0.00000378                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| South Carolina        | 5148714     | 9               | 0.00000175                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| South Dakota          | 884659      | 3               | 0.00000339                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Tennessee             | 6829174     | 11              | 0.00000161                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Texas                 | 28995881    | 38              | 0.00000131                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Utah                  | 3205958     | 6               | 0.00000187                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Vermont               | 623989      | 3               | 0.00000481                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Virginia              | 8535519     | 13              | 0.00000152                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Wasington             | 7614893     | 12              | 0.00000158                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| West Virginia         | 1792147     | 5               | 0.00000279                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Wisconsin             | 5822434     | 10              | 0.00000172                  |
| --------------------- | ----------- | --------------  | --------------------------- |
| Wyoming               | 578759      | 3               | 0.00000518                  |
+-----------------------+-------------+-----------------+-----------------------------+
